User,Time,Content
AntÃ³n LeitÃ³n,11:06,"I am sure that you know exactly what is good for them, but they need their time and you should adapt their needs. Lets enjoy the journeyDont rush. They are young. Baby steps"
Unknown,11:08,That was my opinion. Better an animal food even pasteurized than a veggie
Silmavi,12:18,It really takes so long to get it digested?
Silmavi,14:42,I ate raw red mullet
Unknown,14:42,Tasted good
Unknown,14:42,Liked it more than mouth
Unknown,14:43,
Unknown,14:43,Red mullet salmonete in Spanish
Unknown,14:44,Mouth is bocarte
Unknown,14:45,
Unknown,14:45,Bocarte is before they become  anchovy
Unknown,14:46,WordReference says mouth....
Unknown,14:46,ğŸ¤·â€â™€
Unknown,14:52,That's strange
Deleted Account,15:04,Does rinsing meats affect the nootrient content?
AntÃ³n LeitÃ³n,17:32,Why do you rinse it?
Deleted Account,17:37,I only rinse the herring. I just rinse them. I don't find it pleasant when they've sat in a murky watery substance a whole day at the supermarket
Silmavi,17:52,For milk lovers....my farmer puts iodine in the udders when milking to keep bacterias out.....so....is it still a good milk source? Or better this milk than no milk?
AntÃ³n LeitÃ³n,20:19,Anyone here is thirsty all day long?Electrlyte disbalance?
Unknown,20:20,Aaa. OkI dont rinse my beef
Unknown,20:21,Thanks for sharing
AntÃ³n LeitÃ³n,21:38,Dry mouth. Thirsty for liquids
Deleted Account,21:39,You donâ€™t drink any water?
AntÃ³n LeitÃ³n,21:42,"No.If i drink more water, i am more thirsty"
Unknown,21:43,All the milk i drink is 2 or more days fermented
Deleted Account,21:44,Even good mineral water?
AntÃ³n LeitÃ³n,21:48,Even:MineralTaken from a pondWith a little sea salt...
Deleted Account,21:51,Thatâ€™s odd
Silmavi,21:55,The man put the udders in a little container with iodine to keep bacteria away...
Unknown,21:57,Is it ok then to drink it?
Unknown,22:02,I try to record it next time
Unknown,22:03,He says that iodine acts like barrier and bacteruta from outside can't get in
Unknown,22:05,I couldn't find another...maybe they all do it
Unknown,22:06,1l is a lot
Unknown,22:07,It is muscular pain!! Yes#
Unknown,22:07,Don't blame milk
AntÃ³n LeitÃ³n,22:13,Shit is better than comercial  iodine ğŸ˜
Silmavi,22:50,I may dare to ask if the iodine goes to the milk
Unknown,22:50,So far the milk makes no side effects on my family
Unknown,22:51,Imagine his face
Unknown,22:51,I try to film him when he puts iodine
Unknown,22:52,He washes the udder with a soap too
Unknown,22:52,Ok ...iam not panicking there is poison all arround us
Deleted Account,22:54,I want to buy from farmers like this ğŸ˜
Silmavi,23:02,Do you put your egg under the tap before you eat them?
Deleted Account,23:05,I donâ€™t
Silmavi,23:22,I thought i had to wash them.
Unknown,Unknown,
Deleted Account,01:23,i had food poisoning from trying to do onsen tamago with unwashed eggs. ğŸ™
Deleted Account,01:39,Likely because you cooked it
Deleted Account,01:57,"well these were african eggs, so i don't know what goes onto the eggs if unwashed."
Unknown,02:02,we suspect what ever was on the shell got into the egg when the shell cracked during cooking.
Yan,08:16,ive been looking for a way to eat liver without having to taste it(i absolutely hate the taste). Ended up cutting raw liver into small pieces and just chugging them down with water like supplementpills or so. Any idea if thats an issue regarding digestion? Since missing out on the chewingpart etc
Allu,08:45,"Make smoothie of liver, raw milk and honey"
Deleted Account,09:02,"minced beef, raw egg and olive oil. iâ€™m sure we can sub beef for minced liver"
Silmavi,13:04,Eating raw mackerel.Is good.With cream
Unknown,13:07,Acv?
Deleted Account,13:12,apple cider vinegar
Silmavi,13:15,ğŸ‘ok
Unknown,13:18,Was it worth it?
Unknown,13:19,Ok
Unknown,13:21,Ofc!
Unknown,Unknown,
Yan,15:29,anyone got a good link regarding how to ferment milk or is youtubing just fine
Silmavi,15:33,https://youtu.be/yJgg1S2DLH8
Unknown,15:34,I ferment it like asra but as here the temperature is cold i put the jars on the heating
Unknown,15:34,What?
Unknown,15:36,ğŸ‘
Yan,15:37,damn shes pretty hardcore lol
Unknown,15:37,looks so innocent
Silmavi,15:38,She explains great and i have tried many things thanks to her.Like aged heart and beef which i really like
Yan,15:38,she drinks the whole egg including egg white ğŸ¤”
Unknown,15:39,i thought that could be problematic longterm
Silmavi,15:39,It is very refreshing
Unknown,15:39,Strsnge how my mouth likes it more every time
Yan,15:39,isnt that a sign tho
Unknown,15:39,that ur body doesnt agree with it
Silmavi,15:40,I drank egg like Aajonus yesterday
Unknown,15:40,From shell
Unknown,15:40,How?
Yan,15:40,doesnt fit the narrative eh
Silmavi,15:41,Ok.I don't notice anything
Yan,15:41,i guess it would help understanding why your body reacts
Unknown,15:43,"i love drinking raw eggs cos its the easiest way to get high quality proteins, does make me feel nautious sometimes tho"
Unknown,15:43,did it make u feel like u want to puke too
Unknown,15:44,"not actually puking, just the feeling"
Unknown,15:44,thanks for sharing
Unknown,15:44,right
Unknown,15:44,i understand that
Unknown,15:44,i dont want have that issue
Unknown,15:44,only the feeling on wanting to throw up
Unknown,15:45,for 30 mins
Unknown,15:46,yea
Unknown,15:46,my spelling was off lol
Silmavi,15:46,Hmmm.I always do a quick wash before crashing  the egg
Yan,15:47,between 5 and 10
Unknown,15:47,can i add anything
Unknown,15:47,to solve this
Silmavi,15:47,Aaaa detox!
Yan,15:47,so i can keep drinking 10
Unknown,15:53,guess i ll start with 5 again
Unknown,15:53,making my first liver shake now
Unknown,15:53,"milk, liver, honey"
Unknown,15:53,anything else?
Deleted Account,15:53,that didnt sound right haha
Silmavi,15:56,Amazing
Unknown,15:57,Between meals?
Unknown,15:58,I like them with fermemted milk
Unknown,16:00,I usually drink lubrication formula as water with the meal
Unknown,16:01,Yes....very and so i drink a shake egg and fermented milk
Unknown,16:02,Sometimes a must drin water.Dont know why
Unknown,16:02,Why?
Deleted Account,16:03,"I donâ€™t believe it, sounds like mainstream BS"
Deleted Account,16:06,Egg whites gave me HUGE acne
Unknown,16:07,Unbelievable how it cleared up after stopping drinking eggs
Unknown,16:08,But I've still got rosacea... Can't get rid of it ğŸ˜£
Unknown,16:10,Yes you do indeed
Unknown,16:11,Interesting
Unknown,16:12,Daphne reloaded has a skincare video on rosacea. Better rewatch it
Unknown,16:12,Redness
Yan,16:13,didnt taste as horrible as expected
Deleted Account,16:13,For me it's around my nose. Very light tho
Yan,16:13,pleasant surprise
Deleted Account,16:13,Honey makes everything taste good :p
Yan,16:14,wonder if theres anything else i can put to mask the taste more
Deleted Account,16:14,Did the liver taste very bitter on it's own?
Unknown,16:15,It's only a problem for white-ass people :P
Allu,16:18,
Yan,16:24,dunno but it tasted bitter abit in the shake
Unknown,16:24,was wondering what that was
Allu,16:27,
Unknown,16:27,Guess
Unknown,16:28,No thymus doesnt look like that haha
Unknown,16:28,Whole burbot fishroe sack
Unknown,16:29,Half a kilo
Deleted Account,16:29,Thymus is white/pink
Allu,16:29,Yes burbot is a big snake looking fish
Unknown,16:30,
Unknown,16:30,Not In one sitting
Unknown,16:30,In few days
Unknown,16:30,I only bought the sack
Pazarac,17:21,A giant walnut
Yan,17:54,surprised they allowed to sell that
Unknown,17:54,im jealous though
Unknown,17:54,#crazyrussians
Pazarac,18:11,Moloko ğŸ‘Œ
Deleted Account,18:16,I do
Unknown,18:17,The noise???
Unknown,18:18,Interesting
Unknown,18:18,That will probably scare the living hell out of my mom
Deleted Account,18:19,You close the lid?
Unknown,18:19,Iâ€™ve never had that happen
Unknown,18:19,Ah I keep a loose lid on it
Deleted Account,18:24,What? Don't you just leave it be?
Deleted Account,18:27,"I just got some kefir grains, gonna have a whole bunch of fun experimenting with stuff like that"
Deleted Account,18:30,So the thing on the top?
Unknown,18:31,How do you add it and when?
Silmavi,18:31,You ferment the milk without cream?
Unknown,18:35,ğŸ˜‚ğŸ˜‚ğŸ˜‚
Unknown,18:35,Deli shit
Unknown,18:36,I missed that one of AajonusğŸ˜•
Unknown,18:38,ğŸ˜­
Unknown,18:38,ğŸ‘Œ
Pazarac,19:09,Tchret you are the admin of justmeat ?
Unknown,19:20,Okay
Allu,19:55,True
Unknown,19:55,I agree In that thing
AntÃ³n LeitÃ³n,20:29,"The shit on the shell are good bacteria...ğŸ˜‹ğŸ˜‹ğŸ˜‹Pd: another idea for a t-shirt: ""i like the shit im my eggs"""
Unknown,20:30,Do you like cheese or butter or tallow. One piece of one of those each time
Unknown,20:30,ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚That is only for us...
Unknown,20:41,ğŸ˜³ğŸ˜³ğŸ˜³
Deleted Account,20:45,I donâ€™t buy it
Unknown,20:55,I am sure there is more biotin in the yolk than can be bound by the avidin in the white.
AntÃ³n LeitÃ³n,20:57,Me too
Deleted Account,20:57,Eating nothing but raw egg whites over a long period? I could see that being problematic. Provided itâ€™s a part of SAD
Unknown,21:03,"Whenever Iâ€™ve seen the avidin-biotin argument in favor of discarding the egg white, Iâ€™ve never seen anyone actually break down the figures"
Unknown,21:04,"This is just some random guy on the internet, so take it for what itâ€™s worth. Seems to check out though"
Unknown,Unknown,
AntÃ³n LeitÃ³n,21:17,"I drank today 1 glass of raw milk and felt bloated, and had asthma again.In the short term i feel better with pasteurized milk han with raw one.I only feel good with raw fermented dairy"
Unknown,21:20,ğŸ‘ğŸ‘ğŸ‘
Unknown,21:21,"Baby steps. 4 years without meat, fish and only just some boiled eggs and unfatted cheeseAnd all my life without animal fats"
Unknown,21:22,Me too
Unknown,21:22,With or without honey?
Unknown,21:22,I always eat cheese with honey
Silmavi,21:24,Then cheese ten mts later milk ten mts later cheese?
Unknown,21:25,Raw not fermentedmilk?
Unknown,21:26,Ok.I don't have it now.I will do it next time
AntÃ³n LeitÃ³n,21:28,Why without honey?
Unknown,21:29,Aajonus talked about a tablespoon of cheese each time
Unknown,21:29,Every now and then
Deleted Account,21:37,With drinking milk between cheese?
AntÃ³n LeitÃ³n,21:42,I thoughy it was only with cheese.
Unknown,21:44,Aajonus Questions and Answers - www.wewant2live.comhttps://www.wewant2live.com/aajonus-questions-and-answers/
Unknown,21:44,We can buy this book.
Unknown,21:48,Antibiotics - Recovery From - www.wewant2live.comhttps://www.wewant2live.com/antibiotics-recovery-from/
Unknown,21:48,You were right. I haven't read it
Unknown,21:57,Thanks for sharing
Unknown,21:57,We could put some dollars each and buy the book
Silmavi,21:59,
Unknown,22:03,ğŸ¤·â€â™€
Yan,22:05,she literally just puts it in a jar and lets it sit there for a few days?
Silmavi,22:05,I didit on the gHeating with termometer
Unknown,22:05,It works
AntÃ³n LeitÃ³n,22:05,This book
Silmavi,22:06,But her caraboo milk is creamier than mine
Yan,22:06,looks easy af
Unknown,22:06,pretty sure i ll manage to fuck it up somehow tho
AntÃ³n LeitÃ³n,22:06,"I really feel better, @ubeats1 Only a piece of cheese"
Silmavi,22:06,It is good when cold weather
Yan,22:06,i live in thailand
Unknown,22:06,no cold sir
Silmavi,22:06,Lucky
Unknown,22:07,She lives at 30degrees
Yan,22:07,same same yea
Silmavi,22:07,Lucky
AntÃ³n LeitÃ³n,22:07,You could have told me before my running training 2 hours ago...ğŸ˜…I couldnt breath for 30min
Silmavi,22:07,So with cheese you can breath again?
AntÃ³n LeitÃ³n,22:08,We are between 3 and 15Â°C in North Spain
Unknown,22:08,Less bloated in 20 min
Silmavi,22:09,Great.Always a piece of cheese near
Unknown,22:09,Handy
Unknown,22:10,Dark place
AntÃ³n LeitÃ³n,22:11,And a 20 min alarmLike Pomodoro
Silmavi,22:14,Pomodoro?
AntÃ³n LeitÃ³n,22:16,Pomodoro Technique - Wikipediahttps://en.m.wikipedia.org/wiki/Pomodoro_Technique
Unknown,22:18,https://www.amazon.es/gp/aw/d/B004YZP19M/ref=ox_sc_act_image_1?smid=A1AT7YVPFBWXBL&psc=1I am going to buy this green clay
Silmavi,22:21,Lo tienes en app?
AntÃ³n LeitÃ³n,22:22,No. I use the android timer
Silmavi,22:22,ğŸ‘
AntÃ³n LeitÃ³n,22:23,3 min between series in my workouts30 min after a meat meal to eat cheese and a little honey
Unknown,Unknown,
Deleted Account,01:48,"question, would you do raw meat if you are in an ebola zone?"
Deleted Account,02:59,I donâ€™t know enough about Ebola to say
Deleted Account,04:30,If i was in an Ebola zone i would leave
Deleted Account,04:35,haha
AntÃ³n LeitÃ³n,10:22,Perfect Workout on bicycle again
Silmavi,10:37,ğŸ˜’
AntÃ³n LeitÃ³n,10:38,can you change it?
Unknown,10:38,I have put mine at 9Â°C. But 8 would be even fine
Unknown,10:39,Wouldn't it be even worse to cook it?
Deleted Account,10:41,dont the inuit do frozen food? iâ€™m sure food freeze there
Unknown,10:42,esp pre electricity
Unknown,10:43,sure its water and not vodka?
Unknown,10:45,meat slurpie?
Deleted Account,11:39,What does good blood taste like because mine tastes like nothing
Pazarac,11:53,Hahaha
Pazarac,12:12,Guys whats your diet plans?
Unknown,12:14,What you eat in a day and do you eat the same thing everyday
Unknown,12:15,What you mean ğŸ˜‚
Unknown,12:16,"Lmao, but its not reallt my name"
Unknown,12:16,Raw chicken? Isnt it a bit dangerous?
Unknown,12:17,Salmonella
Unknown,12:17,Its organic?
Unknown,12:18,Hahah
Unknown,12:18,"I see, ok"
Unknown,12:18,"One of the most liberating things about this diet is you dont have to worry about what to eat, and when to preparw"
Unknown,12:20,My brother had it when he was small
Deleted Account,12:22,"it can be found in humans, but is dangerous when its entering?"
Unknown,12:23,only doctors understand ğŸ˜„
Unknown,12:24,"healyourgutguy thinks, that all bacteria viruses etc behave well when in a good environment"
Unknown,12:25,acidic
Unknown,12:26,"we self balance our microbiome if we do what we are designed to do, so no worries"
Unknown,12:26,tryhard ğŸ˜„
Pazarac,12:27,Is there any statistics about how long carnivores live?
Deleted Account,12:27,tchickenret
Unknown,12:28,ğŸ˜
Unknown,12:29,ask again in 50years
Pazarac,12:32,Wdym
Silmavi,12:59,Nice rock
Deleted Account,13:06,I think I got food poisoning from frozen blood
Pazarac,13:07,? Which symptoms
Deleted Account,13:16,Nausea
Unknown,13:17,Maybe not
Unknown,13:17,But I'm not feeling good
Unknown,13:18,"Hmm, perhaps. Anyway, no more frozen blood for me"
Allu,13:18,The frozen blood had additives In it
Pazarac,13:24,Put some nail polish remover
Deleted Account,13:30,Oh yes it actually does...
Silmavi,13:57,ğŸ˜‚ğŸ˜‚ğŸ˜‚
Unknown,13:57,Bin it
Deleted Account,13:58,ugh
Silmavi,14:03,@ubeats1 the other day I wanted to make yoghurt. I have this yogurt machine and I had cold milk so I decided to wait until the milk gets warm to make the yoghurt. But then I remembered that I had some milk fermenting in the cupboard and I decided to use that milk that wasn't cold to make the yoghurt. I put it in the machine for 24 hours and it didn't work .it had a very bad taste we has to throw it away. don't use fermented milk to make yogurtğŸ˜’
Unknown,14:04,ğŸ‘ğŸ‘ğŸ‘
Deleted Account,15:46,"Frozen meat is fine to eat. Not ideal, but no need to throw it away"
Deleted Account,16:48,"Yea I used to do it all the time, plenty of others as well"
Unknown,16:48,Much much better than cooked imo
Allu,17:36,I highly recommend everyone to try make Viili/filbunke yogurt
Unknown,17:36,Its unheated
Silmavi,17:47,I do it!
Unknown,17:47,ğŸ˜
Deleted Account,17:51,The magic potato
Allu,18:47,
Deleted Account,21:25,Any of you guys juice regularly?
Silmavi,21:45,
Unknown,21:45,My milkman .The iodine he puts on the udders is in the yellow and red container.
Unknown,Unknown,
Silmavi,21:57,Yes i recorded to show the iodine issue
AntÃ³n LeitÃ³n,22:12,I eat non organic raw chicken
Unknown,22:23,ğŸ˜‚ğŸ˜‚ğŸ˜‚
Silmavi,22:29,Ok
AntÃ³n LeitÃ³n,22:29,
Silmavi,22:29,Thank s
Deleted Account,22:30,"I understand, thatâ€™s why I said itâ€™s not ideal. But itâ€™s not gonna kill you"
Unknown,22:31,"Also in tchretâ€™s case, the meat just barely froze. So it would be less harmed than meat from the actual freezer"
AntÃ³n LeitÃ³n,22:31,400-600g beef organs100-200g beef fat1 lubrication formula150g raw cheese1l raw fermented milk3-4 cream tablespoonsA little honeySome days 100-150g fruit juice
Unknown,22:32,Its better than veggies
Deleted Account,22:33,"Much better than cooked still imo, I used to eat quite a bit of frozen meat. I used to eat it still half frozen, like some kind of meat ice cream"
Unknown,22:34,Any noticeable benefits?
AntÃ³n LeitÃ³n,22:36,I dont add it to the milk now. I have reached my weight target
Unknown,22:39,And half teaspoon of raw cheese every half an hour ğŸ˜‰
Unknown,22:40,17879-81kg depending of the day. 25 more kg than vegan 5 months ago
Unknown,22:41,Im lying...ğŸ˜Š1 teaspoon
Silmavi,23:30,"What's the the perfect weight for 1,43?"
AntÃ³n LeitÃ³n,23:34,45-49kg
Unknown,23:38,I dont like the look on the mirror. A little fatty. But I am doing it for health.At summer I will go down a little for the beach ğŸ˜Š
Unknown,Unknown,
Deleted Account,00:15,why are we using bmi instead of height to waist ratio?
Deleted Account,02:27,The measurements werent provided
Yan,07:34,"made this raw cheese the way the phillipino girl recommended, tasted pretty dope"
Unknown,07:34,positively surprised
Deleted Account,07:50,Unchilled milk?
Yan,08:42,well it was frozen i believe
Unknown,08:42,raw frozen goatmilk
Unknown,08:42,thats what i get delivered
Unknown,08:42,just putting it in a jar and a piece of cloth above it and let it sit in warm room for a day
Silmavi,10:45,I do with unchilled milk.
Unknown,10:48,Well....i have never weight more than 35....and i was eating omnivorous many years.Becsuse if crudivegan and mucusless diet i dropped to 30 and now iam arround 33-35
Unknown,10:51,ReallyğŸ˜ğŸ¤¨ğŸ¤¨ğŸ¤¨?
Unknown,10:52,Good explanation
Yan,10:58,the raw cheese thing pre raw eggs worked i believe
Unknown,10:58,against nausea
Silmavi,12:07,Great cheese
Unknown,12:07,Even a little salted?
Yan,12:14,salt is awesometho
AntÃ³n LeitÃ³n,12:42,"I am very excited.Today I went to my first race after 2 years of vegan.Trail running through some hills12,5km. 1h45m aproxI felt so great that i have done 7 more km. 2h45mFelt like I had neverending fuelI didnt train for it enough.But I think that the cheese had made a big differenceI am recovering my health. Returning to be as I used to"
Unknown,12:42,"Very, very happy ğŸ˜€When I arrived at the finish line, I even cried a little"
Unknown,12:43,3 months
Unknown,12:44,3 weeks keto3 weeks gaps2 years vegan2 years vegetarian with only some boiled eggs
Unknown,12:44,"When stopped vegan, gained 0.5kg a day for 3 weeks"
Unknown,12:45,"The stabilized. And then when adding raw milk, gained again 10kg"
Unknown,12:45,Yes
Unknown,12:46,Thank you for all your sharings. And @tchret Nice groupYou are helping a lot of people
Unknown,12:47,I learn and have fun with you
Unknown,12:47,"More than 20km with rivers, stones, trees broken, and with minimal shoes"
AntÃ³n LeitÃ³n,12:52,Foto de AntÃ³n LeitÃ³n
AntÃ³n LeitÃ³n,12:52,Foto de AntÃ³n LeitÃ³n
AntÃ³n LeitÃ³n,12:52,Veganism malnourishment
Unknown,12:54,Next long race I will take little pieces of raw cheese with me to bind with the poisons that must be expelled by the extreme effort
Deleted Account,12:54,Oh wow! That difference is huge in those pics!
Unknown,12:55,Looking buff ğŸ’ª
AntÃ³n LeitÃ³n,12:55,5 months between the 2 photosVeganism vs primal diet
AntÃ³n LeitÃ³n,12:56,5 months ago I could not run 30 min with my 9 year olds son
Yan,13:25,jesus
Unknown,13:25,thats a sick before and after
Unknown,13:25,u should share that online
Unknown,13:25,well done
Unknown,13:26,"this looks so unhealthy, no offense"
Silmavi,13:27,Mucusless diet
AntÃ³n LeitÃ³n,13:29,I thought it was temporary detox. But it never ended
Unknown,13:30,"At first years feeling better. Without rinitis, asthma.Goos digestions. No headaches, etc"
Pazarac,13:35,You saved yourself
Unknown,13:35,Vegans be like : losing teeth? Its only a temporary detox ğŸ˜‚
Unknown,13:37,I also tried it but not for a long time. I felt from the beginning that something is missing
AntÃ³n LeitÃ³n,13:39,"I have lost a lot hair, problems on nails, etc"
Unknown,13:41,Foto de AntÃ³n LeitÃ³n
Unknown,13:41,Problems in my skin
Unknown,13:52,I could not stand to throw it to the garbage. I would Eat it raw
Deleted Account,16:35,Is there any possibilities to consume too much vitamin D fron fish? I've eaten 5 kilos of herring in a couple of weeks now
Unknown,16:36,Well I guess my body knows wgen to stop
Unknown,16:39,That means more herring!
Unknown,16:42,Is kefir a good source of K2?
Unknown,16:45,Isn't the process of fermenting also producing k2?
Deleted Account,16:46,Yes
